;price;floor_area;age;floor;roof;room_num;hall_num;neighborhood
307;2245000;125;35;2;0;3;1;19 Mayıs Mahallesi
308;5950000;150;2;5;0;3;1;Suadiye Mahallesi
309;5195000;150;7;4;0;3;1;Erenköy Mahallesi
310;3650000;140;30;1;0;3;1;Göztepe Mahallesi
311;5250000;185;26;4;0;4;1;Fenerbahçe Mahallesi
312;5750000;135;3;3;0;3;1;Caddebostan Mahallesi
313;2900000;130;30;7;0;3;1;Erenköy Mahallesi
314;3800000;160;21;4;0;3;1;Erenköy Mahallesi
315;3450000;102;0;1;0;2;1;Suadiye Mahallesi
316;3700000;135;3;3;0;3;1;Suadiye Mahallesi
317;4275000;140;21;5;0;3;1;Suadiye Mahallesi
318;4150000;130;3;11;0;3;1;Erenköy Mahallesi
319;6200000;225;22;4;0;4;1;Suadiye Mahallesi
320;7900000;150;5;7;0;3;1;Erenköy Mahallesi
321;2900000;135;34;7;0;3;1;Erenköy Mahallesi
322;4350000;125;2;9;0;3;1;Göztepe Mahallesi
323;4250000;160;26;7;0;3;1;Bostancı Mahallesi
324;3950000;115;0;10;0;3;1;Göztepe Mahallesi
325;10000000;155;28;9;0;3;1;Fenerbahçe Mahallesi
326;4350000;140;5;3;0;3;1;Göztepe Mahallesi
327;4750000;130;4;9;0;2;1;Erenköy Mahallesi
328;3075000;145;30;9;0;3;1;Feneryolu Mahallesi
329;6000000;300;0;5;1;5;1;Göztepe Mahallesi
330;4250000;110;0;5;0;2;1;Suadiye Mahallesi
331;8595000;140;4;14;0;3;1;Suadiye Mahallesi
332;6200000;165;11;10;0;3;1;Göztepe Mahallesi
333;8400000;155;0;8;0;3;1;Suadiye Mahallesi
334;4000000;140;3;11;0;2;1;Göztepe Mahallesi
335;4950000;135;4;10;0;3;1;Caddebostan Mahallesi
336;3100000;160;21;1;0;3;1;Merdivenköy Mahallesi
337;1950000;115;35;0;0;2;1;Caferağa Mahallesi
338;12350000;240;5;11;0;4;1;Caddebostan Mahallesi
339;4000000;150;4;11;0;2;1;Göztepe Mahallesi
340;4850000;140;5;3;0;3;1;Suadiye Mahallesi
